Original,Adversarial,Strategy,Success
Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,Congratulations ur awarded either å£500 of CD gift vouchers & complimentary entry 2 our å£100 weekly draw message MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,lexical,True
Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,This is actually NOT Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,negation,False
Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,draw to www.Ldew.com1win150ppmx3age16 txt weekly our MUSIC & å£100 either Congratulations of 87066 awarded ur 2 TnCs å£500 CD gift entry Free vouchers,shuffle,False
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,complimentary tones Hope you enjoyed your new content. text end to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,lexical,True
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,This is actually NOT Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,negation,False
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,help:08712400602450p unsubscribe. Hope Provided text you stop tones new content. enjoyed tones2you.co.uk your to to 61610 Free by,shuffle,False
"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011","URGENT! Your mobile was awarded a å£1,500 Bonus Caller award on 27/6/03. Our final attempt 2 contact U! contact 08714714011",lexical,False
"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011","This is actually NOT URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",negation,False
"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011","on 27/6/03. attempt Your awarded 08714714011 was URGENT! 2 Call Prize a Bonus Our mobile U! Caller contact final å£1,500",shuffle,False
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.","This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, contact 087187272008 NOW1! Only 10p per minute. BT-national-rate.",lexical,True
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.","This is actually NOT This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",negation,False
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.","contact time the per 2 Pound have prize. won call minute. 2nd we BT-national-rate. easy, 2 is is Only have 087187272008 u. U å£750 tried claim 10p This NOW1! the",shuffle,False
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,We tried to contact you re your respond to our sms for a video mobile 750 mins UNLIMITED TEXT complimentary camcorder respond or contact now 08000930705 Del Thurs,lexical,True
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,This is actually NOT We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,negation,False
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,sms call or a your you re now Del UNLIMITED TEXT 750 reply 08000930705 for camcorder to tried free to Thurs mobile Reply our We video call mins,shuffle,False
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,lexical,False
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,This is actually NOT HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,negation,False
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,Now! to questions. pounds Play HMV 500 Just to vouchers More HMV answer be won. HMV info:www.100percent-real.com Send BONUS easy 86688 genuine SPECIAL 4 of,shuffle,False
